MH ID,Lat,Long
M16-011,38.56851026,-121.721118
N10-004,38.56233735,-121.7688685
N11-062,38.56276086,-121.7650354
N11-072,38.56211607,-121.7585289
N12-066,38.56180936,-121.7504112
N13-041,38.56217655,-121.7445143
N13-045,38.56079608,-121.7431754
N14-031,38.56201698,-121.7387067
N17-005,38.56451803,-121.7034163
O12-005,38.55912976,-121.7585734
O13-002,38.5604074,-121.7431002
O14-008,38.56065349,-121.7357709
O14-020,38.55961299,-121.7386988
O14-085,38.55381609,-121.7397692
O15-078,38.55397764,-121.7246244
O20-001,38.55931115,-121.6757296
P08-035,38.5501399,-121.7865215
P08-058,38.54873982,-121.7865141
P10-001,38.55369933,-121.777108
P10-015,38.55290697,-121.7745506
P14-027,38.5531947,-121.7336277
P14-102,38.54874097,-121.7315012
P15-027,38.55025249,-121.7267965
P16-041,38.55157964,-121.7201589
Q14-047,38.5445259,-121.7331832